Province,School,Sector,Learners
EC,MAQWATINI PJ SCHOOL,Public,126
EC,MZAMO JUNIOR SECONDARY SCHOOL,Public,126
EC,OVISTON PRIMARY SCHOOL,Public,126
EC,RODANA PJS SCHOOL,Public,126
FS,KROONSTAD AKADEMIE CI/S,INDEPENDENT,126
KZ,ESESE PRIMARY SCHOOL,Public,126
KZ,FAKU PRIMARY SCHOOL,Public,126
KZ,GAJU S,Public,126
KZ,INSONGE PRIMARY SCHOOL,Public,126
KZ,MAKHOWE PRIMARY SCHOOL,Public,126
KZ,MAWENI H,Public,126
KZ,MANYONGA LP,Public,126
GP,ARROWS OF DESTINY CHRISTIAN ACADEMY,INDEPENDENT,126
GP,EDU EXCELLENCE PRIVATE SCHOOL,INDEPENDENT,126
KZ,VERULAM INDEPENDENT SCHOOL,INDEPENDENT,126
KZ,MAGUT PRIVAAT,INDEPENDENT,126
WC,DANIEL LE ROUX PRIM.,Public,126
GP,RADLEY COLLEGE,INDEPENDENT,127
GP,HEARTWOOD INDEPENDENT SCHOOL,INDEPENDENT,127
LP,DITLOTSWANE PRIMARY SCHOOL,Public,127
LP,MOTSERERENG PRIMARY,Public,127
LP,HWIBI PRIMARY SCHOOL,Public,127
MP,TORBANITE PRIMARY SCHOOL,Public,127
MP,LAERSKOOL WITTENBERG,Public,127
MP,SIDLASOKE SECONDARY SCHOOL,Public,127
GP,MEGATONG PRIMARY SCHOOL,Public,127
KZ,EMPOLOMBENI PRIMARY SCHOOL,Public,127
EC,BAWA JUNIOR SECONDARY SCHOOL,Public,127
EC,MUNYU JUNIOR SECONDARY SCHOOL,Public,127
EC,MNTUNTLONI JUNIOR SECONDARY SCHOOL,Public,127
EC,XABADIYA JUNIOR SECONDARY SCHOOL,Public,127
EC,SIGAGANE JUNIOR SECONDARY SCHOOL,Public,127
EC,GUSI SENIOR PRIMARY SCHOOL,Public,127
NC,ST ANNA SEKONDÊRE PRIVAATSKOOL,INDEPENDENT,127
NC,ALHEIT (NGK) PRIMÊRE SKOOL,Public,127
FS,ACCELERATED CHRISTIAN COLLEGE SI/S,INDEPENDENT,127
KZ,KWASONTO PRIMARY SCHOOL,Public,127
KZ,MANQONDO JP,Public,127
EC,KINKELBOS PRIMARY SCHOOL,Public,127
GP,EAGLE HOUSE LEARNING CENTRE,INDEPENDENT,127
KZ,MAGCEKENI C.P. SCHOOL,Public,127
KZ,ELOMO P,Public,127
KZ,MSHIYANE SECONDARY,Public,127
GP,ELTURION INDEPENDENT CHRISTIAN SCHOOL,INDEPENDENT,127
KZ,MT HOREB JS SCHOOL,Public,127
WC,KWEEKKRAAL NGK PRIM.,Public,127
KZ,ZASENGWA JP,Public,128
LP,MAGEZA SECONDARY,Public,128
LP,KGAKGALA PRIMARY SCHOOL,Public,128
LP,MATUMA PRIMARY SCHOOL,Public,128
LP,SEGASHIFE SECONDARY SCHOOL,Public,128
LP,DE HOOP PRIMARY,Public,128
NW,MAGAABUE PRIMARY SCHOOL,Public,128
GP,LEAP SCIENCE AND MATHS SCHOOL,INDEPENDENT,128
GP,MAGIC PREP AND PRIMARY SCHOOL,INDEPENDENT,128
EC,MZOMNCANE JUNIOR PRIMARY SCHOOL,Public,128
EC,MASELENI JUNIOR SECONDARY SCHOOL,Public,128
EC,SIQITHINI JUNIOR SECONDARY SCHOOL,Public,128
EC,XAXASHIMBA JUNIOR SECONDARY SCHOOL,Public,128
EC,ZIKHOVANA JUNIOR SECONDARY SCHOOL,Public,128
EC,ZAMUKULUNGISA SENIOR PRIMARY SCHOOL,Public,128
EC,KWABABA PJS SCHOOL,Public,128
EC,PHAKAMANI JUNIOR SECONDARY SCHOOL,Public,128
FS,PHUTHANANG P/S,Public,128
FS,DITLATSE PF/S,Public,128
KZ,KHULEKANI PRIMARY SCHOOL,Public,128
KZ,NETHEZEKA H,Public,128
KZ,OHLAHLA PRIMARY SCHOOL,Public,128
EC,FORT MURRAY PRIMARY SCHOOL,Public,128
KZ,GRACE MISSION S,INDEPENDENT,128
WC,YESHUA CHRISTIAN PRIM.,INDEPENDENT,128
WC,EAGLES WINGS CHRISTIAN SCHOOL,INDEPENDENT,128
WC,UITKYK LS,Public,128
EC,THE HILL COLLEGE,INDEPENDENT,129
KZ,MARIA TROST JP,Public,129
KZ,NHLAMVANA CP,Public,129
MP,XINYEKETI  PRIMARY SCHOOL,Public,129
MP,PUGISHE PRIMARY SCHOOL,Public,129
LP,RAMOKGOPA PRIMARY SCHOOL,Public,129
MP,DERBY PRIMARY SCHOOL,Public,129
MP,LAERSKOOL LOTHAIR,Public,129
MP,INKABA PRIMARY SCHOOL,Public,129
MP,STEYNSDORP PRIMARY SCHOOL,Public,129
NW,IKANENG,Public,129
NW,NHOLE PRIMARY SCHOOL,Public,129
NW,PHATLHOSO HIGH SCHOOL,Public,129
EC,TWECWANA PUBLIC SCHOOL,Public,129
EC,ZOZO COMBINED SCHOOL,Public,129
EC,FAITH REVIVAL CHRISTIAN SCHOOL,INDEPENDENT,129
EC,NDABAKAZI JUNIOR SECONDARY SCHOOL,Public,129
EC,NGQANDA JUNIOR SECONDARY SCHOOL,Public,129
EC,NOMAWAKA JUNIOR SECONDARY SCHOOL,Public,129
EC,VUKUKHANYE JUNIOR SECONDARY SCHOOL,Public,129
EC,PIET MLANDU'S JUNIOR SECONDARY SCHOOL,Public,129
EC,EMGWALANA SENIOR PRIMARY SCHOOL,Public,129
EC,HLANGALANE JUNIOR SECONDARY SCHOOL,Public,129
EC,THOKOZANI SENIOR PRIMARY SCHOOL,Public,129
EC,GEORGE HAMILTON,INDEPENDENT,129
EC,INDWE (METH) PRIMARY SCHOOL,Public,129
NC,MADUO INTERMEDIATE SCHOOL,Public,129
FS,MAPEKA I/S,Public,129
KZ,AMANDLAKAPHELI PRIMARY SCHOOL,Public,129
KZ,BLUE MOUNTAIN PRIMARY SCHOOL,Public,129
KZ,DUBULEKA PRIMARY SCHOOL,Public,129
KZ,EMSENGENI PRIMARY SCHOOL,Public,129
KZ,MBULWINI PRIMARY SCHOOL,Public,129
KZ,NOGAWU PRIMARY SCHOOL,Public,129
GP,UBUHLE SCHOOL,INDEPENDENT,129
EC,EMDIZENI PRIMARY SCHOOL,Public,129
EC,LOVEMORE PARK PRIMARY SCHOOL,Public,129
EC,DIKENI JUNIOR PRIMARY SCHOOL,Public,129
KZ,ST JAMES SCHOOL FOR BOYS AND GIRLS,INDEPENDENT,129
KZ,KHETHANI CHRISTIAN SCHOOL,INDEPENDENT,129
KZ,EKLOLWENI PRIMARY SCHOOL,Public,129
KZ,DLANGAMANDLA,Public,129
WC,EASTRIDGE CHRISTIAN ACADEMY,INDEPENDENT,129
WC,BRUINTJIESRIVIER EK PRIM.,Public,129
WC,GEELHOUTBOOM VGK PRIM.,Public,129
WC,BITTERFONTEIN PRIM.,Public,129
EC,ADENDORP PRIMARY SCHOOL,Public,130
EC,NOMZAMO MADIKIZELA MANDELA PRIMARY SCHOOL (THORNHI,Public,130
KZ,UMZIMKHULU PRIMARY SCHOOL,Public,130
LP,RAPETSWA SECONDARY SCHOOL,Public,130
LP,TSWATSANE PRIMARY SCHOOL,Public,130
LP,SENWANE SECONDARY SCHOOL,Public,130
LP,MAUPYE PRIMARY SCHOOL,Public,130
LP,MAMONE SECONDARY SCHOOL,Public,130
LP,MATSHELE,Public,130
LP,NAMUDI SECONDARY SCHOOL,Public,130
LP,MAESELA PRIMARY,Public,130
LP,PATANENG PRIMARY,Public,130
LP,NANGA PRIMARY,Public,130
LP,TSHIMBILUNI PRIMARY,Public,130
LP,BUFFELSVALLEI COMBINED SCHOOL,Public,130
MP,DIPOSI PRIMARY SCHOOL,Public,130
MP,AMANDLA PRIMARY SCHOOL,Public,130
MP,KHULANGELWAZI PRIMARY SCHOOL,Public,130
MP,SIBANI PRIMARY SCHOOL,INDEPENDENT,130
MP,HOPE ACADEMIC AND SKILL CENTRE,INDEPENDENT,130
NW,DUDFIELD PRIMARY SCHOOL,Public,130
GP,BROOKLYN MONTESSORI SCHOOL,INDEPENDENT,130
EC,MASONWABE JUNIOR PRIMARY SCHOOL,Public,130
EC,TYATA PRIMARY SCHOOL,Public,130
EC,BAY CHRISTIAN SCHOOL,INDEPENDENT,130
EC,A B SIWENDU SENIOR PRIMARY SCHOOL,Public,130
EC,BAWANA SENIOR PRIMARY SCHOOL,Public,130
EC,BEECHAMWOOD JUNIOR SECONDARY SCHOOL,Public,130
EC,MAKHOSONKE SENIOR PRIMARY SCHOOL,Public,130
EC,MNTLA JUNIOR SECONDARY SCHOOL,Public,130
EC,MZAZI SENIOR PRIMARY SCHOOL,Public,130
EC,NOKATANA JUNIOR SECONDARY SCHOOL,Public,130
EC,LUKHANYISWENI SENIOR PRIMARY SCHOOL,Public,130
EC,MFABANTU JUNIOR SECONDARY SCHOOL,Public,130
EC,NGCOLOKENI JUNIOR SECONDARY SCHOOL,Public,130
EC,MQHOKWENI SENIOR PRIMARY SCHOOL,Public,130
EC,MKAMBATI JUNIOR PRIMARY SCHOOL,Public,130
EC,B A MBAM JUNIOR PRIMARY SCHOOL,Public,130
EC,NGOJINI JUNIOR SECONDARY SCHOOL,Public,130
NC,LAERSKOOL CURRIESCAMP,Public,130
NC,KITLANYANG PRIMARY SCHOOL,Public,130
FS,ONS ANKER IF/S,Public,130
KZ,AMANZABOMVU LP,Public,130
KZ,ANDANTE PRIMARY SCHOOL,INDEPENDENT,130
KZ,BRAKSLOOT LP,Public,130
KZ,FINGQINDLELA S,Public,130
KZ,HLAZAKAZI PRIMARY SCHOOL,Public,130
KZ,KLEINFONTEIN PRIMARY SCHOOL,Public,130
KZ,MAGOBHE PRIMARY SCHOOL,Public,130
KZ,MAHLUTSHINI PRIMARY SCHOOL,Public,130
KZ,MKHABELA PRIMARY SCHOOL,Public,130
EC,ELY PRIMARY SCHOOL,Public,130
KZ,MANKULUMANE PRIMARY,Public,130
WC,AL-HIDAAYAH COLLEGE,INDEPENDENT,130
WC,AUBURN HOUSE SCHOOL,INDEPENDENT,130
WC,SOMERSET WEST PRIVATE SCHOOL,INDEPENDENT,130
EC,VICTORY LEADERSHIP ACADEMY,INDEPENDENT,131
NW,LABOJANG PRIMARY,Public,131
KZ,QUARME PRIMARY SCHOOL,Public,131
KZ,NKWELO CP,Public,131
GP,GRANTLEY COLLEGE,INDEPENDENT,131
GP,SEDAVEN PRIMARY SCHOOL,INDEPENDENT,131
LP,PAPKUILPRIMARYSCHOOL,Public,131
LP,CRACOUW PRIMARY SCHOOL,Public,131
LP,MAKGOPHENG PRIMARY SCHOOL:,Public,131
LP,ITSOSENG PRIMARY,Public,131
LP,MASUVHELELE,Public,131
LP,MBAHE PRIMARY,Public,131
MP,GROOTDRAAIDAM PRIMARY SCHOOL,Public,131
NW,MODISE KANONO MIDDLE SCHOOL,Public,131
NW,KGALALELO PRIMARY SCHOOL,Public,131
GP,FUNANANI CHRISTIAN SCHOOL,INDEPENDENT,131
EC,LUJIZA PRIMARY SCHOOL,Public,131
EC,UPPER MGOMANZI JUNIOR SECONDARY SCHOOL,Public,131
EC,LINDUBUHLE JUNIOR SECONDARY SCHOOL,Public,131
EC,MALIZE JUNIOR PRIMARY SCHOOL,Public,131
EC,NTIBANE JUNIOR SECONDARY SCHOOL,Public,131
EC,TSHISANE JUNIOR SECONDARY SCHOOL,Public,131
EC,TAFENI JUNIOR SECONDARY SCHOOL,Public,131
NC,CARDINGTON PRIMARY SCHOOL,Public,131
FS,HUMANSVLAKTE PF/S,Public,131
KZ,AMABUTHO PRIMARY SCHOOL,Public,131
KZ,BERNICA PRIMARY SCHOOL,Public,131
KZ,DLOLWANE CP,Public,131
KZ,KWAJAKOBE CP,Public,131
KZ,INGUTSHANA PRIMARY SCHOOL,Public,131
GP,SEDCO COLLEGE,INDEPENDENT,131
KZ,KESWA'S JS SCHOOL,Public,131
KZ,ITSHELENCWADI PRIMARY SCHOOL,Public,131
WC,YOUNG AMBASSADORS PRIMARY SCHOOL,INDEPENDENT,131
WC,TANDFONTEIN NGK PRIM.,Public,131
KZ,SINGANA PRIMARY SCHOOL,Public,132
KZ,UMVULO PRIMARY SCHOOL,Public,132
GP,TIKELO PRIMARY FARM SCHOOL,Public,132
LP,PLATLAND PRIMARY SCHOOL,Public,132
LP,PHUTLO SENIOR SECONDARY SCHOOL,Public,132
LP,MADIKALEPUDI SECONDARY,Public,132
LP,MOTSWALEDI SECONDARY SCHOOL,Public,132
LP,HLONG PRIMARY SCHOOL,Public,132
LP,KHAVUWE PRIMARY SCHOOL,Public,132
LP,LAERSKOOL OHRIGSTAD,Public,132
LP,EXCELSUS ACADEMY,INDEPENDENT,132
EC,LAZA MAKHAKA JUNIOR SECONDARY SCHOOL,Public,132
EC,LIHASENG JUNIOR SECONDARY SCHOOL,Public,132
EC,VULINDLELA SENIOR PRIMARY SCHOOL,Public,132
EC,LUNGISANI SENIOR PRIMARY SCHOOL,Public,132
KZ,LUJOJWANA PRIMARY SCHOOL,Public,132
GP,SANDTON AFRIKAANSE AKADEMIE,INDEPENDENT,132
EC,GEJU SECONDARY SCHOOL,Public,132
KZ,STANGER P.P.,INDEPENDENT,132
KZ,STOFFELTON PRIMARY SCHOOL,Public,132
KZ,PHOWANE LP,Public,132
KZ,MGOBHOZI PRIMARY SCHOOL,Public,132
KZ,COMMON'S VALLEY JS SCHOOL,Public,132
KZ,THORNBUSH SP SCHOOL,Public,132
WC,KLAARSTROOM PRIM.,Public,132
NW,PALMIETKUIL  PRIMARY,Public,133
EC,EMHLANGENI PRIMARY SCHOOL,Public,133
KZ,SIPHINHLANHLA H,Public,133
KZ,UXOLO NOKUZWANA S,Public,133
KZ,WYKOM PRIMARY SCHOOL,Public,133
KZ,SENZOKUHLE JS (MKUZE),Public,133
LP,LESEDING PRIMARY SCHOOL,Public,133
LP,MAHEKGWE PRIMARY,Public,133
LP,SEHOJANE PRIMARY SCHOOL,Public,133
LP,LUAMBO SECONDARY SCHOOL,Public,133
MP,HLONIPHANI PRIMARY SCHOOL,Public,133
MP,ZIWELILE PRIMARY SCHOOL,Public,133
NW,MODUBYANE PRIMARY SCHOOL,Public,133
GP,CITYRAND COLLEGE,INDEPENDENT,133
EC,EZOLO JUNIOR SECONDARY SCHOOL,Public,133
EC,KUYASA JUNIOR SECONDARY SCHOOL,Public,133
EC,kwaNTOZONKE SENIOR SECONDARY SCHOOL,Public,133
EC,LUZIPO JUNIOR SECONDARY SCHOOL,Public,133
EC,MADUMA JUNIOR SECONDARY SCHOOL,Public,133
EC,MTWAKU JUNIOR SECONDARY SCHOOL,Public,133
EC,NKWILINI SENIOR PRIMARY SCHOOL,Public,133
EC,YAWA JUNIOR SECONDARY SCHOOL,Public,133
EC,ETALENI SENIOR PRIMARY SCHOOL,Public,133
EC,IZIBANZINI JUNIOR SECONDARY SCHOOL,Public,133
EC,KHOARAI SENIOR PRIMARY SCHOOL,Public,133
EC,MNDINI SENIOR PRIMARY SCHOOL,Public,133
EC,NONKQUBELA JUNIOR SECONDARY SCHOOL,Public,133
EC,HLOMENDLINI JUNIOR SECONDARY SCHOOL,Public,133
EC,LOWER SEPLAN JUNIOR SECONDARY SCHOOL,Public,133
FS,EVERGREEN PI/S,INDEPENDENT,133
FS,TSEKI S/S,Public,133
FS,MOHLAKANENG I/S,Public,133
KZ,EBUMBENI JP,Public,133
KZ,KWASIKHUNYANE LP,Public,133
KZ,ST HENRY'S MARIST BROTHERS' C,INDEPENDENT,133
KZ,STONEY HILL PRIMARY SCHOOL,Public,133
KZ,SIKELELA PRIMARY SCHOOL,Public,134
KZ,NHLANHLIVELE JS,Public,134
GP,HERITAGE CHRISTIAN COLLEGE,INDEPENDENT,134
GP,SONRISE CHRISTIAN SCHOOL,INDEPENDENT,134
LP,RHENOSTERKLOOF  PRIMARY  SCHOOL,Public,134
LP,RAPHOTOLOLO PRIMARY  SCHOOL,Public,134
LP,MAPALE SECONDARY,Public,134
LP,MAKGALANE PRIMARY SCHOOL,Public,134
LP,MUKONDENI PRIMARY SCHOOL,Public,134
MP,MOGALITWA PRIMARY SCHOOL,Public,134
MP,MOLOTO COMBINED SCHOOL,Public,134
KZ,ISLAMIC DAWAH COLLEGE,INDEPENDENT,134
EC,NZUZO JUNIOR PRIMARY SCHOOL,Public,134
EC,ELUXOLWENI JUNIOR PRIMARY SCHOOL,Public,134
EC,NYUMAGA JUNIOR SECONDARY SCHOOL,Public,134
EC,WILI JUNIOR SECONDARY SCHOOL,Public,134
EC,DILIZINTABA JUNIOR PRIMARY SHCOOL,Public,134
EC,NCOTI JUNIOR SECONDARY SCHOOL,Public,134
EC,ESINYAMENI SENIOR PRIMARY SCHOOL,Public,134
EC,MGODI JUNIOR SECONDARY SCHOOL,Public,134
EC,NDAKENI JUNIOR SECONDARY SCHOOL,Public,134
EC,SIHLAHLENI JUNIOR SECONDARY SCHOOL,Public,134
EC,NYALASA JUNIOR SECONDARY SCHOOL,Public,134
EC,VELALANGA SENIOR SECONDARY SCHOOL,Public,134
EC,LOWER SEPLAN SENIOR SECONDARY SCHOOL,Public,134
FS,BALMACARA IF/S,Public,134
KZ,AMANZASHISAYO PRIMARY SCHOOL,Public,134
KZ,ETETE SA FARM PRIMARY SCHOOL,Public,134
KZ,GUDLINTABA PRIMARY SCHOOL,Public,134
KZ,MEHLOKUBHEKA PRIMARY SCHOOL,Public,134
KZ,MTWANUNGAMIZIZWE H,Public,134
KZ,NTINTISA PRIMARY SCHOOL,Public,134
KZ,NTWASAHLOBO S,Public,134
KZ,SIYAMTHANDA PRIMARY SCHOOL,Public,134
WC,NORTHCLIFF HOUSE COLLEGE,INDEPENDENT,134
WC,BOESMANSRIVIER NGK PRIM.,Public,134
NW,SERITE MOSHOETTE PRIMARY SCHOOL,Public,135
KZ,PIVAAN PRIMARY SCHOOL,Public,135
KZ,THULWANA H,Public,135
KZ,VRYSTAAT PRIMARY SCHOOL,Public,135
KZ,KHULAMBEDU JP,Public,135
LP,NKGAKGAUTHA PRIMARY SCHOOL,Public,135
LP,BOTSIKANA,Public,135
LP,MOKGAPI SECONDARY SCHOOL,Public,135
LP,SWIKE PRIMARY SCHOOL,Public,135
LP,THINGWA PRIMARY,Public,135
LP,SETLAMORAGO PRIMARY SCHOOL,Public,135
LP,MUTELE PRIMARY SCHOOL,Public,135
LP,MULEDANE JUNIOR PRIMARY,Public,135
LP,MUTSI PRIMARY SCHOOL,Public,135
KZ,SODWANA BAY PREPARATORY PRIMARY SCHOOL,INDEPENDENT,135
GP,WEST VIEW COLLEGE,INDEPENDENT,135
EC,QAUKENI JUNIOR PRIMARY SCHOOL,Public,135
EC,SIYAZAMA HIGH SCHOOL,Public,135
EC,SONWABILE PUBLIC SCHOOL,Public,135
EC,SAKHINGOMSO PRIMARY SCHOOL,Public,135
EC,CAMSHE JUNIOR SECONDARY SCHOOL,Public,135
EC,DUMASI SENIOR PRIMARY SCHOOL,Public,135
EC,MQOKOLWENI JUNIOR SECONDARY SCHOOL,Public,135
EC,NOMPUMELELO SENIOR SECONDARY SCHOOL,Public,135
EC,SCHOOMBEE PRIMARY SCHOOL,Public,135
EC,MTWAKU JUNIOR SECONDARY SCHOOL,Public,135
NC,TSAELENGWE INTERMEDIATE SCHOOL,Public,135
KZ,AMAHOBE PRIMARY SCHOOL,Public,135
KZ,BIRDSPRUIT PRIMARY SCHOOL,Public,135
KZ,DOKOLWANE PRIMARY SCHOOL,Public,135
KZ,ESTON PRIMARY SCHOOL,Public,135
KZ,ILLOVO NEK PRIMARY SCHOOL,Public,135
KZ,KWAMAZAMBANE PRIMARY SCHOOL,Public,135
KZ,MAYELESWENI PRIMARY SCHOOL,Public,135
KZ,NGQUNGQU PRIMARY SCHOOL,Public,135
KZ,NUNGWANE PRIMARY SCHOOL,Public,135
KZ,OQAQENI PRIMARY SCHOOL,Public,135
EC,ENKWENKWEZINI SECONDARY SCHOOL,Public,135
KZ,SOGODI PRIMARY SCHOOL,Public,135
KZ,ULUSDA CHRISTIAN PRIMARY SCHOOL,INDEPENDENT,135
WC,CURRO BRACKENFELL,INDEPENDENT,135
WC,KING'S SCHOOL,INDEPENDENT,135
WC,GOEDEHOOP PRIM.,Public,135
WC,KAROOKOP PRIM.,Public,135
KZ,KWANDWALANE PRIMARY SCHOOL,Public,136
LP,MASELESELE PRIMARY,Public,136
LP,RASEKHUTA PRIMARY SCHOOL,Public,136
LP,MAKWALE PRIMARY,Public,136
LP,TAKALANI NYAWEDZENI PRIMARY SCHOOL,Public,136
MP,ERMELO CHRISTIAN SCHOOL,INDEPENDENT,136
MP,ST PETER'S INTERNATIONAL COMBINED SCHOOL,INDEPENDENT,136
NW,LOUISDAL PRIMARY SCHOOL,Public,136
GP,WHITE HOUSE COLLEGE,INDEPENDENT,136
EC,JIM MVABAZA SENIOR SECONDARY SCHOOL,Public,136
EC,KEDAMA SENIOR PRIMARY SCHOOL,Public,136
EC,SOPAKAMA JUNIOR SECONDARY SCHOOL,Public,136
EC,TSHATSHENI PRIMARY SCHOOL,Public,136
EC,MQABO PJS SCHOOL,Public,136
EC,SOUTHERNWOOD JUNIOR SECONDARY SCHOOL,Public,136
EC,DABULAMANZI SENIOR PRIMARY SCHOOL,Public,136
EC,LINOTSING JUNIOR SECONDARY SCHOOL,Public,136
EC,THABA-CHICHA JUNIOR SECONDARY SCHOOL,Public,136
EC,BANKIES JUNIOR SECONDARY SCHOOL,Public,136
EC,DORDRECHT PRIMARY SCHOOL,Public,136
EC,HALA SENIOR SECONDARY SCHOOL,Public,136
NC,LOUBOS (VGK) PRIMÊRE SKOOL,Public,136
KZ,MAPHUMULO COMBINED,Public,136
EC,CINTSA EAST PRIMARY SCHOOL,Public,136
KZ,VEZULWAZI PRIMARY SCHOOL,Public,136
NW,DE HY PRIMARY,Public,136
KZ,MASIMDUMISE JP,Public,136
KZ,JOHN WESLEY,INDEPENDENT,136
KZ,KHULAKAHLE S,Public,137
GP,GRACE CHRISTIAN SCHOOL,INDEPENDENT,137
LP,MAWELE SECONDARY SCHOOL,Public,137
LP,DIKGOPHENG PRIMARY SCHOOL,Public,137
LP,MAHUDU PRIMARY,Public,137
LP,MAPOGHS COMBINED SCHOOL,Public,137
MP,PHUZAMANZI PRIMARY SCHOOL,Public,137
MP,LAERSKOOL AMSTERDAM,Public,137
MP,BEKETELANI PRIMARY SCHOOL,Public,137
MP,HABILE PRIMARY SCHOOL,Public,137
NW,MAKOSHONG PRIMARY,Public,137
GP,AVENIR PRIVATE SCHOOL,INDEPENDENT,137
EC,IMVISISWANO JUNIOR PRIMARY SCHOOL,Public,137
EC,NGXAMNGXA PUBLIC SCHOOL,Public,137
EC,ZONDEKA PRIMARY SCHOOL,Public,137
EC,DUMEZWENI JUNIOR SECONDARY SCHOOL,Public,137
EC,MTSHANYANE JUNIOR SECONDARY SCHOOL,Public,137
EC,NAKAZANA JUNIOR SECONDARY SCHOOL,Public,137
EC,REVE JUNIOR SECONDARY SCHOOL,Public,137
EC,TOLENI JUNIOR SECONDARY SCHOOL,Public,137
EC,XOBANI JUNIOR SECONDARY SCHOOL,Public,137
EC,NQUTYANA SENIOR PRIMARY SCHOOL,Public,137
EC,NTSHOZWENI SENIOR PRIMARY SCHOOL,Public,137
EC,UPPER NTLANGAZA JUNIOR SECONDARY SCHOOL,Public,137
EC,DUBA JUNIOR PRIMARY SCHOOL,Public,137
EC,MVUMVU JUNIOR SECONDARY SCHOOL,Public,137
EC,PHARAMAKHULO SENIOR PRIMARY SCHOOL,Public,137
EC,THEMBILE JUNIOR PRIMARY SCHOOL,Public,137
EC,MZOMHLE JUNIOR PRIMARY SCHOOL,Public,137
EC,NTUNJA SENIOR SECONDARY SCHOOL,Public,137
EC,PAPASI JUNIOR SECONDARY SCHOOL,Public,137
NC,MAKHUBUNG PRIMARY SCHOOL,Public,137
KZ,ABAMBO PRIMARY SCHOOL,Public,137
KZ,EJOKWENI PRIMARY SCHOOL,Public,137
KZ,MATSHANHLOLA PRIMARY SCHOOL,Public,137
KZ,NGILANYONI PRIMARY SCHOOL,Public,137
EC,DONDASHE SENIOR SECONDARY SCHOOL,Public,137
KZ,THEMBELANI PRIMARY SCHOOL,Public,137
KZ,NDABENHLE (TONGAAT),Public,137
KZ,SHANGELA PRIMARY SCHOOL,Public,137
KZ,THEMBALIHLE JS SCHOOL,Public,137
KZ,SIBUTHA PRIMARY SCHOOL,Public,137
WC,RUENS KOLLEGE,INDEPENDENT,137
KZ,SIBHANGWANA PRIMARY SCHOOL,Public,138
KZ,ZUNGENI PRIMARY SCHOOL,Public,138
KZ,DUMANE S COMMERCIAL HIGH,Public,138
GP,ED-U-COLLEGE SECONDARY SCHOOL,INDEPENDENT,138
LP,RAMAKWAPENG PRIMARY SCHOOL,Public,138
LP,TUMEDI PRIMARY,Public,138
LP,PHUTITLOU SECONDARY SCHOOL,Public,138
MP,THE BROOK PRIMARY SCHOOL,Public,138
NW,RE-E-LWELE PRIMARY,Public,138
EC,NGXWALANE PRIMARY SCHOOL,Public,138
EC,QHAYIYA SENIOR SECONDARY SCHOOL,Public,138
EC,SIYABABALWA HIGH SCHOOL,Public,138
EC,MAHLEZANA JUNIOR SECONDARY SCHOOL,Public,138
EC,MEME SENIOR PRIMARY SCHOOL,Public,138
EC,LOWER CEGCUANA JUNIOR SECONDARY SCHOOL,Public,138
EC,EZITHENJINI SENIOR PRIMARY SCHOOL,Public,138
EC,MBAMBENI SENIOR PRIMARY SCHOOL,Public,138
EC,VOYIZANA SENIOR PRIMARY SCHOOL,Public,138
EC,LUBISINI JUNIOR SECONDARY SCHOOL,Public,138
EC,MALIWA JUNIOR PRIMARY SCHOOL,Public,138
EC,BILATYE JUNIOR SECONDARY SCHOOL,Public,138
EC,BONISWA JUNIOR SECONDARY SCHOOL,Public,138
EC,CUBE SENIOR PRIMARY SCHOOL,Public,138
EC,DLAKAVU PJS SCHOOL,Public,138
NC,WELKOM PRIMÊRE SKOOL,Public,138
NC,KHUIS PRIMARY SCHOOL,Public,138
KZ,BHEKAMAKHOSI PRIMARY SCHOOL,Public,138
KZ,EMBUYENI CP,Public,138
KZ,FORTMANNSPRUIT,Public,138
KZ,ST DAVID'S DIOCESAN,INDEPENDENT,138
KZ,MABIBI PRIMARY SCHOOL,Public,138
KZ,MICHAEL M SHELEMBE PRIMARY SCHOOL,Public,138
KZ,MTHINTENI CP,Public,138
KZ,MUNYWANA PRIMARY SCHOOL,Public,138
NW,DAUMAS MIDDLE SCHOOL,Public,138
KZ,EMAGUQENI PRIMARY SCHOOL,Public,138
KZ,MASAKHANE JP SCHOOL,Public,138
WC,KROMLIN PRIM.,Public,138
WC,NIEUWE MORGEN PRIM.,Public,138
GP,BRANDCLIFF HOUSE,INDEPENDENT,139
LP,KGOPSANE PRIMARY,Public,139
LP,NKOBO,Public,139
LP,MAKANGWANE SECONDARY SCHOOL,Public,139
LP,MAKAVHINI PRIMARY SCHOOL,Public,139
LP,TSHIILAHO PRIMARY SCHOOL,Public,139
MP,NCIKINYANE PRIMARY SCHOOL,Public,139
MP,IMBHABALA PRIMARY SCHOOL,Public,139
MP,SIBONGANGWANE PRIMARY SCHOOL,Public,139
MP,NORDEN PRIMARY SCHOOL,Public,139
EC,SITYI PRIMARY SCHOOL,Public,139
EC,SOPHAKAMA JUNIOR PRIMARY SCHOOL,Public,139
EC,MTINTSILANA JUNIOR SECONDARY SCHOOL,Public,139
EC,NYANISWENI JUNIOR SECONDARY SCHOOL,Public,139
EC,NTSELENI PJS SCHOOL,Public,139
EC,SOPHONIA SENIOR SECONDARY SCHOOL,Public,139
EC,TEMBENI SENIOR PRIMARY SCHOOL,Public,139
EC,THEMBENI SENIOR PRIMARY SCHOOL,Public,139
